site_url,sname,image_url,sakura_famous,country_famous,w_frank,w_wrank,t_rrank,t_arank,rname,aname,addr,lat,lon,exp,"desc","night","event","whour"
/sakura/1/1/50001.html,旭山公園,https://static.tenki.jp/static-images/sakura/point/50001/square.jpg,0,0,8,7,0,0,北海道地方,道北,旭川市東旭川町倉沼,43.76500560314,142.48014900473,5月上旬～5月中旬,"見頃時期には約3500本ものエゾヤマザクラを楽しむことができます。","","","24時間"
/sakura/1/1/50005.html,九十九山,https://static.tenki.jp/static-images/sakura/point/50005/square.jpg,0,0,0,0,0,0,北海道地方,道北,士別市東8条北1,44.182774057966,142.40180937815,5月上旬～5月中旬,"士別神社の境内でもある九十九山は、その広大な敷地にサクラやコブシの他、60種類以上の樹木が繁り、野鳥・生物も数多く存在します。","","","24時間"
/sakura/1/2/50023.html,円山公園,https://static.tenki.jp/static-images/sakura/point/50023/square.jpg,0,0,0,0,2,0,北海道地方,道央,札幌市中央区宮ケ丘3,43.054662619272,141.31425690808,4月下旬～5月中旬,"円山原始林の北側に位置する円山公園は、隣接する北海道神宮境内と共に、古くからのサクラの名所で市民に親しまれています。","","","24時間"
/sakura/1/2/50026.html,北海道立真駒内公園,https://static.tenki.jp/images/icon/noimage-square.jpg,0,0,5,8,0,0,北海道地方,道央,札幌市南区真駒内公園3-1,42.996212017969,141.34289592481,4月下旬～5月下旬,"例年4月下旬からエゾヤマザクラが咲き、5月中旬からはヤエザクラ(サトザクラ)と、2種類約1000本のサクラが楽しめます。","","","24時間"
/sakura/1/2/50030.html,栗山公園,https://static.tenki.jp/static-images/sakura/point/50030/square.jpg,0,0,0,0,0,0,北海道地方,道央,夕張郡栗山町桜丘1・2,43.06536874475,141.78020329778,4月下旬～5月中旬,"栗山公園は御大師山の麓にあり、山の園路とその周辺も含めサクラが大変美しい彩りを見せます。中央通路の桜並木はまるで「サクラのトンネル」のようになり、多くの観光客で賑わいます。公園内には無料で入場できる「なかよし動物園」や「栗山監督応援花壇」などがあり、子供から大人まで楽しむことができます。","","","24時間"
/sakura/1/2/50033.html,美唄市東明公園,https://static.tenki.jp/static-images/sakura/point/50033/square.jpg,0,0,0,9,0,0,北海道地方,道央,美唄市東明町2,43.340969065083,141.89557451866,5月上旬～5月中旬,"雪解けと共に大地にライトグリーンの絨毯が走るように広がる頃、東明公園は見事なサクラの花に覆われます。空知管内随一のサクラの名所と謳われ、大勢の花見客で賑わい、例年満開のサクラの中で桜まつりが盛大に開催されます。","","","24時間"
/sakura/1/2/50034.html,芦別市旭ケ丘公園,https://static.tenki.jp/static-images/sakura/point/50034/square.jpg,0,0,0,0,0,0,北海道地方,道央,芦別市旭町641,43.518798874171,142.20226784969,5月上旬～5月中旬,"市街地を見下ろせる位置にあり、サクラの開花状況で春の到来を実感することができます。開花時期は花見を楽しむ人の姿が見られる他、小動物舎やサル山などの人気施設があるので、多くの家族連れなどで賑わいます。","(4月下旬-5月上旬(予定))","","24時間"
/sakura/1/2/50047.html,奈井江町にわ山森林自然公園,https://static.tenki.jp/images/icon/noimage-square.jpg,0,0,0,1,0,0,北海道地方,道央,空知郡奈井江町字東奈井江59-7,43.426617220036,141.9201598153,5月上旬～5月中旬,"公園のサクラは見事ですが、展望台から見下ろすと碁盤の目に区画された街並みと水田が広がり、その向こうには石狩平野を悠々と流れる石狩川、ピンネシリなど、樺戸連山の眺望も見事です。","","","24時間"
/sakura/1/2/50048.html,モエレ沼公園,https://static.tenki.jp/static-images/sakura/point/50048/square.jpg,0,0,4,0,0,0,北海道地方,道央,札幌市東区モエレ沼公園1-1,43.12367355119,141.42999672081,5月上旬～5月中旬,"世界的な彫刻家イサム・ノグチ氏の設計による公園です。広大な面積の中に多数の遊具やシンボル施設があり、花見だけでなく一年中楽しむことができます。","","","7:00-21:00(公園ゲートの開閉時間)"
/sakura/1/2/50066.html,北竜町金比羅公園,https://static.tenki.jp/static-images/sakura/point/50066/square.jpg,0,0,0,0,0,0,北海道地方,道央,雨竜郡北竜町字三谷104-3,43.730745389843,141.85556521084,5月上旬～5月中旬,"自然の丘陵を生かした公園内には、キャンプ場、野外バーベキュー施設などが整備されています。春のサクラやシバザクラ、白樺、秋の紅葉など、四季折々の情緒ある美しい景観を見ることができます。","","","24時間"
